Date,Actual,Basic_nn,Complex_nn,xgb,rf,Baseline
86121,9076.46,10014.662,9758.535,9727.235,9646.55220683313,9924.412
86122,8773.58,9879.996,9628.9795,9421.394,9641.702181557488,9827.76
86123,8617.1,9679.552,9425.889,9271.274,9628.231414350352,9647.145
86124,8501.93,9565.197,9245.95,9139.647,9621.070985041517,9529.793
86125,8360.43,9438.246,9123.612,9094.129,9600.540628303084,9351.586
86126,8420.27,9305.631,9066.595,9046.791,9575.035853500944,9238.086
86127,8542.9,9280.43,9081.968,9097.115,9498.486634899906,9126.827
86128,8353.83,9220.961,9043.981,8745.427,9421.509288510388,8982.939
86129,8175.34,8984.874,8889.79,8581.894,9296.39252197499,8719.897
86130,8191.65,8743.03,8717.814,8543.9375,9032.015358310684,8436.063
86131,8097.69,8722.724,8664.43,8475.114,9004.90093933552,8320.019
86132,8080.61,8626.289,8572.639,8484.659,8960.501571598756,8156.929
86133,7946.84,8602.741,8486.09,8309.433,8877.756100102319,8186.117
86134,7741.89,8436.615,8366.67,8147.042,8793.622557005241,8125.412
86135,7536.2,8136.663,8190.433,7909.4717,8403.999212839588,8005.977
86136,7320.33,7837.62,7843.894,7694.003,8241.752737649016,7647.565
86137,7097.55,7614.3154,7573.512,7435.372,8111.099413926932,7475.6504
86138,6795.59,7409.3164,7311.7026,7140.3433,7943.880369453868,6925.6226
86139,6507.03,7102.7373,7052.1777,6819.308,7909.486956974593,6652.2344
86140,6277.95,6867.696,6830.291,6598.073,7909.486956974593,6484.2256
86141,6164.62,6746.3755,6673.265,6498.757,7906.676035404157,6578.457
86142,6115.29,6647.4697,6577.979,6478.0796,7906.676035404157,6334.438
86143,6125.64,6598.708,6545.5986,6456.6104,7906.676035404157,6163.159
86144,6234.22,6605.0347,6571.1187,6539.0947,7906.676035404157,6409.2803
86145,6269.43,6811.077,6701.615,6591.8506,7900.789218896491,6419.4844
86146,6477.05,6912.5986,6801.458,6870.2305,7900.789218896491,6602.345
86147,6708.51,7120.7085,7020.906,7066.8516,7909.392520957685,6934.788
86148,7009.05,7431.4834,7348.945,7434.026,8082.98665905227,7313.142
86149,7362.78,7773.909,7647.5093,7849.9785,8074.383356991075,7670.436
86150,7761.16,8182.122,7985.1626,8302.23,8120.371177642541,8033.6733
86151,8027.79,8496.652,8299.937,8609.887,8277.519565042918,8389.165
86152,8333.36,8742.7295,8541.636,8906.165,8397.51562186779,8692.652
86153,8363.98,8996.211,8780.664,9007.294,8763.577382377376,8963.101
86154,8438.6,9039.483,8884.516,9122.39,9018.452560144082,9104.916
86155,8425.72,9120.995,8968.232,9103.621,9129.474706335744,9125.154
86156,8417.9,8975.897,8887.88,9057.826,9145.201356443264,9036.372
86157,8372.52,8969.785,8891.2705,9129.013,9241.218147760315,8933.801
86158,8343.37,9139.967,9021.15,9108.367,9309.64823240981,8966.15
86159,8242.85,9220.3545,9088.645,9120.117,9312.241869363104,9028.568
86160,8191.22,9236.75,9087.252,9084.0,9311.767208577854,9063.107
86161,8085.53,9257.496,9083.138,9065.402,9284.72444318528,9106.603
86162,8095.87,9231.129,9084.866,9095.719,9284.72444318528,9098.266
86163,8022.95,9166.794,9053.87,9068.513,9258.840999023132,9057.957
86164,8001.18,9107.566,9019.036,9091.937,9235.723904956798,9050.082
86165,7968.75,9054.272,8973.204,9090.767,9232.265901151464,9030.159
86166,7915.96,9078.74,8972.776,9147.77,9224.618229842954,8970.979
86167,7924.51,9160.412,8975.622,9154.963,9186.912640209706,8924.656
86168,7878.38,9185.524,8909.122,9083.841,9179.968464988704,8872.7295
86169,7902.41,9088.597,8788.274,9085.625,9124.881501737958,8785.45
86170,7880.48,9044.101,8728.792,9035.846,9075.763775639758,8799.564
86171,7825.889999999999,8922.125,8619.145,8999.011,9060.970527670324,8720.003
86172,7750.67,8889.621,8568.199,8902.212,8998.506421700253,8700.402
86173,7784.409999999999,8760.431,8508.05,8944.555,8917.834348945742,8580.091
86174,7887.17,8621.316,8484.971,8860.706,8906.965224135167,8479.836
86175,8004.28,8535.753,8490.314,8801.534,8936.018020694835,8362.957
86176,7936.47,8511.372,8487.882,8682.489,8936.018020694835,8303.305
86177,7801.48,8348.202,8360.517,8491.807,8918.7314036945,8154.1187
86178,7805.52,8160.439,8205.899,8349.89,8912.777034285966,7968.192
86179,7691.82,8090.7437,8128.7563,8102.108,8895.064698588467,7891.1567
86180,7689.13,7989.1523,8019.3003,8087.945,8758.25358187611,7765.037
